"instrument_id","category","instrument_ru","measures","unit","range_hint","resolution_hint","calibration_method","reference_required","interval","storage","maintenance","failure_signs","safety_class","prohibited_use","spare_strategy","manual_package_id","status","release_version"
"INS-033","SOIL","почвенный бур/пробоотборник","глубина/проба","cm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","разметка глубины и очистка между точками","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","только ручная неглубокая проба после документированной clearance коммуникаций/загрязнения/склона; силовое бурение и неизвестная площадка запрещены","лопатка для неглубоких заранее разрешённых проб","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-034","SOIL","сита для текстуры/агрегатов","размер частиц","mm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","проверка маркировки/повреждения и контрольная смесь","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","пыль — вентиляция/СИЗ; не анализировать подозрительные загрязнения","ручная текстурная оценка","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-035","AGRI","тензиометр/датчик влажности почвы","водный потенциал/влажность","kPa|%","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","почвоспецифическая калибровка и gravimetric comparison","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не принимать универсальные проценты как истину","ручная проба + второй датчик","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-036","AGRI","счётчик семян и лоток всхожести","всхожесть","%","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","известное количество, blind recount и control lot","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","только законные/идентифицированные семена","ручной пересчёт","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-037","AGRI","leaf-area scale/grid","площадь листа","cm²","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","геометрическая проверка grid/reference","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не повреждать охраняемые растения","фото с масштабом","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-038","BIOLOGY","лупа 10x","морфология","dimensionless","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","проверка фокуса и scale card","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не направлять Солнце в глаза/на горючее","вторая лупа","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-039","BIOLOGY","оптический микроскоп для готовых слайдов","изображение/масштаб","µm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","stage micrometer и чистый known slide","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не культивировать/не исследовать неизвестные биообразцы","лупа+готовый атлас","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-040","BIOLOGY","камера/фотоаппарат с scale card","изображение и время","px|mm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","clock check, color/scale card and metadata","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","приватность, геолокация чувствительных видов/людей","два формата и печатные выборки","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-041","HEALTH","клинический цифровой термометр","температура тела","°C","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","штатная проверка/профессиональная поверка по назначению","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не интерпретировать вне инструкции/клинического контекста","второй одобренный прибор","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-042","HEALTH","автоматический тонометр валидированной модели","давление/пульс","mmHg|bpm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","проверка модели, манжеты и периодическое сравнение в клинике","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не менять лечение по одному измерению","запасная манжета/клиническая сверка","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-043","HEALTH","пульсоксиметр","SpO2/пульс","%|bpm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","functional check and professional comparison; limitations logged","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","плохая перфузия/движение/лак и другие факторы искажают; не откладывать помощь","второй метод клинической оценки — специалист","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-044","HEALTH","манекен BLS/AED trainer","навык","rubric/pass-fail","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","инструкторская проверка и расходники","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не тренироваться на человеке; trainer не является рабочим AED","регулярный курс/второй манекен","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-045","ELECTRICAL","цифровой мультиметр CAT по задаче","V/A/Ω","V|A|Ω","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","proof source/service calibration; lead/fuse inspection","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","базовый kit ограничен изолированным низким напряжением; mains — специалист","второй простой meter","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-046","ELECTRICAL","регулируемый лабораторный БП с limit","напряжение/ток","V|A","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сравнение с калиброванным meter и проверка current limit","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не заряжать неизвестные батареи/не питать тело","фиксированные защищённые адаптеры","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-047","ELECTRICAL","USB power meter","энергия/ток","Wh|A|V","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","comparison with reference load/source","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать на сети 230 V","второй meter/known load","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-048","ELECTRICAL","DC electronic load low-power","нагрузка/энергия","A|W|Wh","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","reference meter and thermal check","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не превышать мощность; огнестойкая площадка и надзор","резистивные certified loads","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-049","ELECTRICAL","осциллограф low-voltage isolated use","напряжение/время","V|s|Hz","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","internal cal output and service calibration","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не подключать ground clip к сети/неизолированным опасным цепям","logic analyzer/USB scope with limits","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-050","ELECTRICAL","логический анализатор","цифровой сигнал","V logic|Hz","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","known pattern generator","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","только безопасные logic levels","software decoder and spare probes","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-051","ELECTRICAL","LCR-метр","R/L/C","Ω|H|F","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","open/short calibration and standards","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","только новые известные малые низковольтные учебные компоненты; неизвестные/извлечённые capacitors, power electronics и in-circuit measurement запрещены","known low-energy components","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-052","ELECTRICAL","низковольтный data logger","сенсорный ряд","SI by sensor","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","reference points per channel and clock sync","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать для safety-critical control","бумажный журнал/второй logger","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-053","ENERGY","plug-in energy meter approved for EU socket","мощность/энергия","W|Wh","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","reference load/service check","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","только штатное включение; не вскрывать и не использовать с повреждением","utility meter trend/second unit","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-054","ENERGY","solar irradiance reference cell/pyranometer","облучённость","W/m²","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","manufacturer calibration and intercomparison","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","крыша/высота требует специалиста","horizontal accessible reference point","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-055","MECHANICAL","пружинный динамометр","сила","N","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","known masses within local g and range","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не поднимать людей/опасные грузы","две шкалы","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-056","MECHANICAL","динамометрический ключ","момент","N·m","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","accredited calibration and exercise/storage at minimum setting","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не использовать как breaker bar; safety fasteners by spec","второй диапазон/service","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-057","MECHANICAL","тахометр оптический","частота вращения","rpm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","reflective target on safe trainer/known source","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","ограждение; не приближаться к вращающимся деталям","video analysis","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-058","MECHANICAL","виброметр","ускорение/скорость","m/s²|mm/s","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","calibrator/service and fixed mounting protocol","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не приближаться к неограждённому механизму","trend by same sensor","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-059","MECHANICAL","feeler gauge","зазор","mm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","cleanliness and comparison/reference block","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","только остановленное/изолированное оборудование","duplicate set","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-060","MECHANICAL","thread pitch gauge","шаг резьбы","mm|TPI","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","known fastener/reference chart","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не применять к вращающейся детали","printable chart/caliper","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-061","NAVIGATION","магнитный компас","азимут","degree","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","known line/reversal, declination date and interference check","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать рядом с сильными магнитами; one instrument is not route safety","два компаса и бумажная карта","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-062","NAVIGATION","GNSS receiver","координаты/время","lat/lon/height/time","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","known control point and multi-fix comparison","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","координата не доказывает проходимость/безопасность","phone + standalone + paper","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-063","NAVIGATION","лазерный дальномер Class 2 or safer","длина","m","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","known baseline and battery check","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не направлять в глаза/транспорт; соблюдать класс лазера","рулетка","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
